Time Interval,F1,F2,F3,F4,F5,F6
1443,255,255,255,255,255,255
1444,255,255,255,255,255,255
1445,255,255,255,255,255,255
1446,255,255,255,255,255,255
1447,255,255,255,255,255,255
1448,255,255,255,255,255,255
1449,231,231,231,231,227,223
1450,195,195,195,195,195,195
1451,171,171,171,175,175,175
1452,175,175,175,175,175,175
1453,195,195,195,191,191,191
1454,231,231,227,227,223,223
1455,255,255,255,255,255,255
1456,255,255,255,255,255,255
1457,255,255,255,255,255,255
1458,155,151,151,151,147,147
1459,63,63,63,63,63,63
1460,0,0,0,0,0,0
1461,0,0,0,0,0,0
1462,0,0,0,0,0,0
1463,0,0,0,0,0,0
1464,83,91,95,99,115,119
1465,251,227,215,207,191,187
1466,0,0,0,0,0,0
1467,0,0,0,0,0,0
1468,0,0,0,0,0,0
1469,0,0,0,0,0,0
1470,0,0,0,0,0,0
1471,0,0,0,0,0,0
1472,0,0,0,0,0,0
1473,0,0,0,0,0,0
1474,0,0,0,0,0,0
1475,0,0,0,0,0,0
1476,0,0,0,0,0,0
1477,0,0,0,0,0,0
1478,83,91,95,99,103,107
1479,119,127,127,131,135,139
1480,127,127,131,131,139,139
1481,119,119,123,127,135,139
1482,119,123,127,131,139,143
1483,135,139,143,147,155,159
1484,159,163,167,167,175,175
1485,187,187,187,187,187,187
1486,203,203,203,203,199,199
1487,219,219,219,219,215,215
1488,239,235,235,235,231,231
1489,235,231,231,227,219,215
1490,223,215,211,207,199,195
1491,215,203,199,195,183,179
1492,215,203,199,191,183,179
1493,219,207,203,199,191,187
1494,215,207,207,203,195,191
1495,199,199,199,199,195,195
1496,179,183,183,183,183,183
1497,163,163,163,167,163,163
1498,143,143,147,147,143,143
1499,135,135,135,135,135,135
1500,155,151,151,151,151,151
1501,167,167,167,163,163,163
1502,171,171,171,171,171,171
1503,171,175,175,175,179,179
1504,179,183,183,187,191,191
1505,195,195,199,199,203,199
1506,211,215,215,215,215,211
1507,227,227,227,227,223,219
1508,235,235,231,231,227,223
1509,239,239,235,235,227,223
1510,243,243,243,239,239,235
1511,247,247,247,247,247,247
1512,243,247,251,251,255,255
1513,235,239,243,243,247,251
1514,223,227,231,235,239,239
1515,219,223,227,227,231,231
1516,227,231,231,231,231,231
1517,235,235,235,235,235,231
1518,231,227,227,227,227,223
1519,207,207,203,203,203,203
1520,191,187,187,187,187,187
1521,187,187,183,183,183,183
1522,203,203,203,203,207,211
1523,227,235,235,239,247,251
1524,255,255,255,255,255,255
1525,255,255,255,255,255,255
1526,255,255,255,255,255,255
1527,255,255,255,255,255,255
1528,255,255,255,255,255,255
1529,255,255,255,255,255,255
1530,255,255,255,255,255,255
1531,255,255,255,255,255,255
1532,255,255,255,255,255,255
1533,255,255,255,247,235,231
1534,239,227,219,211,199,191
1535,211,199,191,183,171,167
1536,195,183,179,171,159,155
1537,199,187,179,175,167,163
1538,211,199,195,187,179,175
1539,219,207,199,195,183,179
1540,203,191,187,179,171,167
1541,175,167,163,159,155,151
1542,139,135,135,131,131,131
1543,135,131,127,127,123,123
1544,131,127,123,119,115,115
1545,135,131,127,123,119,119
1546,151,151,147,147,143,143
1547,183,187,187,191,191,191
1548,235,243,247,251,255,255
1549,255,255,255,255,255,255
1550,255,255,255,255,255,255
1551,255,255,255,255,255,255
1552,255,255,255,255,255,255
1553,255,255,255,255,255,255
1554,255,255,255,255,255,255
1555,251,247,247,247,243,243
1556,223,215,215,215,211,211
1557,203,199,199,199,199,199
1558,187,187,187,187,191,195
1559,171,167,171,171,175,179
1560,143,139,143,143,143,143
1561,99,95,95,95,95,95
1562,47,39,39,39,35,35
1563,0,0,0,0,0,0
1564,0,0,3,3,11,11
1565,15,15,19,19,23,23
1566,55,51,51,51,47,47
1567,123,115,111,107,103,99
1568,195,187,187,183,175,175
1569,255,255,255,255,255,255
1570,255,255,255,255,255,255
1571,255,255,255,255,255,255
1572,255,255,255,255,255,255
1573,255,255,255,255,255,255
1574,255,255,255,255,255,255
1575,255,255,255,255,255,255
1576,255,255,255,255,255,255
1577,255,255,255,255,255,255
1578,255,255,255,255,255,255
1579,255,255,255,255,255,255
1580,243,247,247,247,247,247
1581,199,195,199,199,199,199
1582,147,147,147,147,147,151
1583,107,107,107,111,115,115
1584,87,91,91,95,99,99
1585,91,91,91,91,95,99
1586,91,91,91,91,95,95
1587,91,95,95,95,99,99
1588,103,107,111,111,115,119
1589,131,135,139,143,147,147
1590,159,167,171,171,179,179
1591,183,187,191,195,199,203
1592,195,203,203,207,215,215
1593,203,211,211,215,223,223
1594,207,211,215,215,223,223
1595,211,215,215,219,223,223
1596,211,215,219,219,223,223
1597,215,223,227,227,235,235
1598,231,239,239,243,251,251
1599,243,247,251,255,255,255
1600,247,251,251,255,255,255
1601,251,251,251,255,255,255
1602,255,255,255,255,255,255
1603,255,255,255,255,255,255
1604,255,255,255,255,255,255
1605,255,255,255,255,255,255
1606,255,255,255,255,255,255
1607,255,255,255,255,255,255
1608,243,239,239,235,231,227
1609,223,219,219,215,211,211
1610,211,207,207,203,203,199
1611,211,207,207,203,203,203
1612,219,219,215,215,215,215
1613,235,235,235,235,235,231
1614,251,251,251,251,251,251
1615,255,255,255,255,255,255
1616,255,255,255,255,255,255
1617,255,255,255,255,255,255
1618,255,255,255,255,255,255
1619,255,255,255,255,255,255
1620,255,255,255,255,255,255
1621,255,255,255,255,255,255
1622,255,255,255,255,255,255
1623,255,255,255,255,255,255
1624,255,255,255,255,255,255
1625,255,255,255,255,255,255
1626,255,255,255,255,255,255
1627,239,239,239,243,247,251
1628,235,231,231,231,235,235
1629,235,227,227,227,227,227
1630,235,227,227,223,219,219
1631,231,223,223,219,215,211
1632,231,223,219,219,211,207
1633,231,227,223,219,211,203
1634,239,231,227,223,211,207
1635,239,235,231,227,215,211
1636,227,219,219,215,207,207
1637,195,195,191,191,187,187
1638,159,159,159,159,159,159
1639,159,163,163,163,163,167
1640,163,167,167,167,171,175
1641,167,171,171,171,175,175
1642,167,167,167,167,167,167
1643,163,163,163,163,163,163
1644,155,159,159,159,159,163
1645,143,151,151,151,155,155
1646,135,139,143,143,147,147
1647,127,131,135,135,139,143
1648,119,127,127,131,139,139
1649,131,135,139,139,147,147
1650,147,151,155,159,163,163
1651,163,171,175,179,179,179
1652,183,187,191,195,195,191
1653,191,195,195,195,191,187
1654,187,183,183,179,175,175
1655,175,171,167,163,159,159
1656,167,163,159,159,155,155
1657,163,163,159,159,155,155
1658,155,155,155,151,151,151
1659,143,139,135,135,131,131
1660,151,143,139,139,131,131
1661,167,155,151,147,139,135
1662,175,167,159,155,143,139
1663,175,167,159,155,143,139
1664,171,163,159,155,147,143
1665,163,159,159,155,155,151
1666,163,159,159,159,163,163
1667,163,163,167,167,171,175
1668,163,167,167,171,175,179
1669,163,167,171,171,175,175
1670,167,167,167,167,163,163
1671,163,167,167,163,163,163
1672,159,163,163,163,163,163
1673,151,155,159,159,163,163
1674,143,151,155,159,163,167
1675,143,151,155,159,167,171
